TXN_ID,RTL_ID,CUST_AGE_VERF,PROD_ID,QTY_SOLD,SALE_DT,SALE_TM,EMP_ID,TAX_AMT,DISC_AMT,TOTAL_AMT,PMT_TYPE,AGE_CHK_MTHD,LIC_SCAN,WARN_DSPL,COMP_STAT
TX001,RTL0234,Y,TB001,2,2024-02-15,14:23:45,EMP101,3.24,0.00,21.22,CC,DL_SCAN,Y,Y,COMP
TX002,RTL0234,Y,TB017,1,2024-02-15,14:45:12,EMP101,1.58,0.50,8.25,CASH,MANUAL,N,Y,COMP
TX003,RTL0567,N,TB003,3,2024-02-15,16:12:33,EMP205,5.94,0.00,33.69,CC,NONE,N,Y,VIOL
TX004,RTL0234,Y,TB008,1,2024-02-15,17:05:21,EMP101,0.95,0.00,6.20,DEBIT,DL_SCAN,Y,Y,COMP
TX005,RTL0789,Y,TB005,2,2024-02-16,09:45:18,EMP310,1.80,0.00,11.78,CASH,PASSPORT,Y,Y,COMP
TX006,RTL0234,Y,TB014,1,2024-02-16,11:23:45,EMP102,1.53,0.00,10.03,CC,DL_SCAN,Y,Y,COMP
TX007,RTL0567,Y,TB002,4,2024-02-16,13:56:12,EMP205,6.30,2.00,33.00,CASH,MANUAL,Y,Y,COMP
TX008,RTL1023,Y,TB012,1,2024-02-16,15:42:33,EMP405,2.17,0.00,14.16,CC,STATE_ID,Y,Y,COMP
TX009,RTL0789,?,TB007,2,2024-02-16,18:15:45,EMP311,3.42,0.00,22.42,CASH,UNK,?,Y,QUEST
TX010,RTL0234,Y,TB015,3,2024-02-17,10:30:12,EMP101,2.71,0.75,13.54,DEBIT,DL_SCAN,Y,Y,COMP
TX011,RTL0567,Y,TB011,1,2024-02-17,12:45:33,EMP206,1.04,0.00,6.79,CC,MILITARY_ID,Y,Y,COMP
TX012,RTL1023,Y,TB020,2,2024-02-17,14:22:15,EMP405,3.51,1.00,18.49,CASH,DL_SCAN,Y,Y,COMP
TX013,RTL0789,Y,TB018,1,2024-02-17,16:18:45,EMP310,0.92,0.00,6.02,CC,PASSPORT,Y,Y,COMP
TX014,RTL0234,N,TB006,2,2024-02-17,18:35:21,EMP103,2.97,0.00,19.47,CASH,NONE,N,Y,VIOL
TX015,RTL0567,Y,TB013,5,2024-02-18,09:15:33,EMP205,5.87,1.50,30.87,CC,DL_SCAN,Y,Y,COMP
TX016,RTL1023,Y,TB010,1,2024-02-18,11:42:12,EMP406,1.62,0.00,10.61,DEBIT,STATE_ID,Y,Y,COMP
TX017,RTL0789,Y,TB016,3,2024-02-18,13:28:45,EMP311,4.43,0.00,29.18,CASH,DL_SCAN,Y,Y,COMP
TX018,RTL0234,Y,TB009,2,2024-02-18,15:55:21,EMP101,2.78,0.50,14.78,CC,DL_SCAN,Y,Y,COMP
TX019,RTL0567,?,TB019,1,2024-02-18,17:12:33,EMP207,1.49,0.00,9.74,CASH,UNK,N,Y,QUEST
TX020,RTL1023,Y,TB004,2,2024-02-18,19:45:15,EMP405,3.06,0.00,20.06,DEBIT,DL_SCAN,Y,Y,COMP 