SUBM_ID,SUBM_TYP,PROD_ID,SUBM_DT,FDA_STAT,PMTA_ID,STUDY_ID,STUDY_TYP,DATA_TYP,COLLECT_DT,ANLYS_DT,SUBJ_COUNT,PRIMARY_ENDPT,RESULT_SUMM,STAT_SIG,CONF_INT_LOW,CONF_INT_HIGH,P_VALUE,EFFECT_SIZE,CLIN_REL,REG_SECTION,COMPLIANCE_STAT,REVIEWER_ID,REVIEW_DT,DEFICIENCY_CNT,ACTION_REQD
SUB001,PMTA,TB001,2024-01-15,UNDER_REVIEW,PMTA2024001,ST001,NONCLINICAL,PRODUCT_CHAR,2024-01-10,2024-01-14,NULL,NICOTINE_YIELD,12.5 mg/cig,NULL,12.0,13.0,NULL,NULL,YES,2.8,COMPLIANT,REV001,2024-01-16,0,NONE
SUB001,PMTA,TB001,2024-01-15,UNDER_REVIEW,PMTA2024001,ST002,NONCLINICAL,TOXICOLOGY,2024-01-08,2024-01-12,NULL,GENOTOXICITY,NEGATIVE,NULL,NULL,NULL,NULL,NULL,YES,2.8,COMPLIANT,REV001,2024-01-16,0,NONE
SUB002,PMTA,TB003,2024-01-18,DEFICIENCY,PMTA2024002,ST003,CLINICAL,BIOMARKER,2023-12-15,2024-01-15,125,COTININE_REDUCTION,15% REDUCTION,YES,8.2,21.8,0.003,0.65,YES,2.7,DEFICIENT,REV002,2024-01-19,3,RESPONSE_REQD
SUB002,PMTA,TB003,2024-01-18,DEFICIENCY,PMTA2024002,ST004,CLINICAL,EXPOSURE,2023-12-15,2024-01-15,125,BIOMARKER_CHANGE,-12.8%,YES,-18.2,-7.4,0.015,0.42,YES,2.7,DEFICIENT,REV002,2024-01-19,3,RESPONSE_REQD
SUB003,SE_REPORT,TB017,2024-01-20,SUBMITTED,NULL,ST005,POST_MARKET,SURVEILLANCE,2024-01-05,2024-01-18,NULL,ADVERSE_EVENTS,5 REPORTS,NULL,NULL,NULL,NULL,NULL,NO,2.10,COMPLIANT,REV003,2024-01-21,0,MONITORING
SUB004,PMTA,TB008,2024-01-22,UNDER_REVIEW,PMTA2024003,ST006,NONCLINICAL,PRODUCT_CHAR,2024-01-12,2024-01-20,NULL,MOISTURE_CONTENT,12.3%,NULL,11.8,12.8,NULL,NULL,YES,2.8,COMPLIANT,REV001,2024-01-23,0,NONE
SUB004,PMTA,TB008,2024-01-22,UNDER_REVIEW,PMTA2024003,ST007,POPULATION,EPIDEMIOLOGY,2023-11-01,2024-01-18,5847,USAGE_PATTERNS,DAILY USE: 45%,YES,42.1,47.9,<0.001,NULL,YES,2.9,COMPLIANT,REV004,2024-01-23,0,NONE
SUB005,PMTA_AMEND,TB012,2024-01-25,RESUBMITTED,PMTA2024004,ST008,CLINICAL,SWITCHING,2023-10-15,2024-01-22,89,COMPLETE_SWITCH,78% SWITCHED,YES,68.9,87.1,<0.001,1.23,YES,2.7,DEFICIENT,REV002,2024-01-26,1,CLARIFICATION
SUB005,PMTA_AMEND,TB012,2024-01-25,RESUBMITTED,PMTA2024004,ST009,NONCLINICAL,EMISSIONS,2024-01-15,2024-01-23,NULL,HPHCs,REDUCED BY 85%,NULL,80.2,89.8,NULL,NULL,YES,2.8,COMPLIANT,REV001,2024-01-26,1,CLARIFICATION
SUB006,PERIODIC,TB005,2024-01-28,SUBMITTED,NULL,ST010,POST_MARKET,SALES_DATA,2024-01-01,2024-01-26,NULL,MARKET_SHARE,2.3%,NULL,2.1,2.5,NULL,NULL,NO,2.10,COMPLIANT,REV005,2024-01-29,0,MONITORING
SUB007,PMTA,TB020,2024-01-30,DENIED,PMTA2024005,ST011,CLINICAL,ABUSE_LIABILITY,2023-09-01,2024-01-25,156,ADDICTION_POTENTIAL,HIGH RISK,YES,NULL,NULL,0.002,0.78,NO,2.7,NON_COMPLIANT,REV002,2024-01-31,5,DENIAL_UPHELD
SUB008,SE_REPORT,TB014,2024-02-01,SUBMITTED,NULL,ST012,POST_MARKET,SURVEILLANCE,2024-01-28,2024-01-31,NULL,ADVERSE_EVENTS,2 REPORTS,NULL,NULL,NULL,NULL,NULL,YES,2.10,COMPLIANT,REV003,2024-02-02,0,MONITORING
SUB009,PMTA,TB007,2024-02-03,UNDER_REVIEW,PMTA2024006,ST013,NONCLINICAL,PRODUCT_CHAR,2024-01-25,2024-02-01,NULL,FILTER_EFFICIENCY,45.2%,NULL,42.8,47.6,NULL,NULL,YES,2.8,COMPLIANT,REV001,2024-02-04,0,NONE
SUB009,PMTA,TB007,2024-02-03,UNDER_REVIEW,PMTA2024006,ST014,CLINICAL,BIOMARKER,2023-11-15,2024-01-30,98,NNAL_LEVELS,0.85 pmol/mL,YES,0.72,0.98,0.045,0.38,YES,2.7,COMPLIANT,REV002,2024-02-04,0,NONE
SUB010,PMTA_RESPONSE,TB003,2024-02-05,RESUBMITTED,PMTA2024002,ST015,CLINICAL,ADDITIONAL,2024-01-20,2024-02-03,67,BIOMARKER_VALID,VALIDATED METHOD,NULL,NULL,NULL,NULL,NULL,YES,2.7,COMPLIANT,REV002,2024-02-06,1,UNDER_REVIEW
SUB011,PERIODIC,TB001,2024-02-08,SUBMITTED,NULL,ST016,POST_MARKET,SALES_DATA,2024-01-01,2024-02-05,NULL,SALES_VOLUME,125M UNITS,NULL,120M,130M,NULL,NULL,NO,2.10,COMPLIANT,REV005,2024-02-09,0,MONITORING
SUB012,PMTA,TB016,2024-02-10,SUBSTANTIAL_EQUIV,SE2024001,ST017,NONCLINICAL,COMPARISON,2024-01-28,2024-02-08,NULL,PREDICATE_MATCH,95% SIMILAR,NULL,92.5,97.5,NULL,NULL,YES,2.8,COMPLIANT,REV006,2024-02-11,0,SE_PATHWAY
SUB013,PMTA,TB013,2024-02-12,ACCEPTED,PMTA2024007,ST018,NONCLINICAL,PRODUCT_CHAR,2024-02-01,2024-02-10,NULL,NICOTINE_YIELD,7.2 mg/cig,NULL,6.8,7.6,NULL,NULL,YES,2.8,COMPLIANT,REV001,2024-02-13,0,ACCEPTED
SUB014,SE_REPORT,TB009,2024-02-14,SUBMITTED,NULL,ST019,POST_MARKET,SURVEILLANCE,2024-02-08,2024-02-13,NULL,ADVERSE_EVENTS,1 REPORT,NULL,NULL,NULL,NULL,NULL,YES,2.10,COMPLIANT,REV003,2024-02-15,0,MONITORING
SUB015,PMTA,TB019,2024-02-16,UNDER_REVIEW,PMTA2024008,ST020,POPULATION,MODELING,2023-12-01,2024-02-14,NULL,POPULATION_IMPACT,NET BENEFIT,YES,NULL,NULL,0.023,NULL,YES,2.9,COMPLIANT,REV004,2024-02-17,0,NONE 